"Name","Color","Item_URL","Price","Section","Description","Status_1","Status_2","Status_3"
"Top Tencel Sake","CORAL","https://latiendadevalentina.com/low-cost/top-tencel-sake-coral/#/26-talla-34","20,99 €","COLECCIÓN","Camiseta de tirante ancho de corte evasé y escote de pico. Tejido de sarga muy finita elástica. Espalda escotada con goma. Detalle de botón para ajustar los tirantes. La modelo mide 1,62 m y lleva la talla 36 en la fotografía.","Novedades"
"Culotte Algodón Ef Lino","BEIGE","https://latiendadevalentina.com/low-cost/culotte-algodon-ef-lino-beige/#/26-talla-34","23,99 €","COLECCIÓN","Culotte de algodón efecto lino con rayas veticales. Cintura trasera elástica y bolsillos. Viene decorado con volantes en el bajo. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
"Camisa Algodón Ef. Lino","BEIGE","https://latiendadevalentina.com/low-cost/camisa-algodon-ef-lino-beige/#/26-talla-34","28,99 €","COLECCIÓN","Camisa de manga corta de corte asimétrico. Tejido de algodón que simula lino a rayas verticales. Detalle de lazo en las mangas. Pieza en el bajo con las rayas horizontales. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
"Blazer Kale Rayas","ROSA","https://latiendadevalentina.com/low-cost/blazer-kale-rayas-rosa/#/8-talla-36","25,99 €","COLECCIÓN","Blazer de punto roma elástico de corte entallado. Solapas simulando bolsillos del mismo tejido. Detalle de botones con escudo. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
"Pantalón Saba","MARINO","https://latiendadevalentina.com/low-cost/pantalon-saba-marino/#/26-talla-34","21,99 €","COLECCIÓN","Pantalón recto de tejido fluido y tiro alto. Cinturilla de goma. Detalle de botones de madera decorativos. Tiene dos bolsillos. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
"Top Agi","MARINO","https://latiendadevalentina.com/low-cost/top-agi-marino/#/26-talla-34","15,99 €","COLECCIÓN","Top de tirante fino con goma en la espalda. La modelo mide 1,62 y lleva la talla 36 en la fotografía. ","Novedades"
"Falda Jeans Vila","BLANCA","https://latiendadevalentina.com/low-cost/falda-jeans-vila-blanca/#/26-talla-34","24,99 €","COLECCIÓN","Falda vaquera de tiro alto con 5 bolsillos y bajo desflecado. Cierre con cremallera metálica. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
"Falda Jeans Vila","MARINO","https://latiendadevalentina.com/low-cost/falda-jeans-vila-marino/#/26-talla-34","24,99 €","COLECCIÓN","Falda vaquera de tiro alto con 5 bolsillos y bajo desflecado. Cierre con cremallera metálica. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
"Falda Jeans Leya","ROJO","https://latiendadevalentina.com/low-cost/falda-jeans-leya-rojo/#/26-talla-34","20,99 €","COLECCIÓN","Falda vaquera de tiro alto con 5 bolsillos y bajo desflecado. Cierre con botón y cremallera. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
"Falda Jeans Leya","BLANCO","https://latiendadevalentina.com/low-cost/falda-jeans-leya-blanco/#/26-talla-34","20,99 €","COLECCIÓN","Falda vaquera de tiro alto con 5 bolsillos y bajo desflecado. Cierre con botón y cremallera. La modelo mide 1,62 m y lleva la talla 36 en la fotografía. ","Novedades"
